568, 20010602, 144.00, 20, 1^4|2^2|3^2|4^2|5^2|6^2|7^2|9^2|10^2|
650, 20020316, 30.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
658, 20020413, 30.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
682, 20020706, 10.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
710, 20021012, 40.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
758, 20030329, 100.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
768, 20030503, 10.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
780, 20030614, 40.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
860, 20040320, 40.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
868, 20040417, 20.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
870, 20040424, 20.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
872, 20040501, 30.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
876, 20040515, 10.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
882, 20040605, 30.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
898, 20040731, 30.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
914, 20040925, 60.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
940, 20041224, 40.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
948, 20050122, 50.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
966, 20050326, 10.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
986, 20050604, 40.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
992, 20050625, 20.00, 16, 1^2|2^2|3^2|4^2|5^2|6^2|7^2|9^2|
998, 20050716, 20.00, 16, 1^4|2^2|3^2|4^2|6^2|7^2|9^2|
1024, 20051015, 20.00, 14, 1^2|2^2|3^2|4^2|6^2|7^2|9^2|
1084, 20060513, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1106, 20060729, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1118, 20060909, 50.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1128, 20061014, 50.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1130, 20061021, 40.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1148, 20061223, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1166, 20070224, 30.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1176, 20070331, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1208, 20070721, 50.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1276, 20080315, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1300, 20080607, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1328, 20080913, 170.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1332, 20080927, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1408, 20090620, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1436, 20090926, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1478, 20100206, 30.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1494, 20100417, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1548, 20101023, 40.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1560, 20101204, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1598, 20110416, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1600, 20110423, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1672, 20111231, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1678, 20120121, 30.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1694, 20120317, 30.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1698, 20120331, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1702, 20120414, 30.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1738, 20120818, 10.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1720, 20120616, 326.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1718, 20120609, 20.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|
1778, 20130105, 50.00, 12, 1^2|2^2|3^2|4^2|6^2|9^2|